Language,Site, Percentage,Total Power
English,Ashburn,34.99,172.15
French,Ashburn,3.89,19.12
Spanish,Ashburn,61.12,300.73
English,Carrollton,5.47,26.93
Spanish,Carrollton,94.53,465.07
English,Haarlem,18.7,91.98
German,Haarlem,24.07,118.42
French,Haarlem,22.72,111.77
Chinese,Haarlem,1.09,5.37
Russian,Haarlem,27.33,134.45
Spanish,Haarlem,6.1,30.01
English,San Francisco,100.0,492.0
English,Singapore,30.47,149.93
Japanese,Singapore,27.38,134.69
French,Singapore,3.53,17.38
Chinese,Singapore,6.78,33.36
Russian,Singapore,31.84,156.65