Example Uses,MaReduce,Photos Sharing Application,General Purpose High IO,Online Retail Search,General Purpose Compute
Type,Mix,Mix,High IO,Compute,Mix
CPU,E5-2450 V2 8C 2.5GHZ*2,E5-2450 V2 8C 2.5GHZ*2,E5-2620 V2 6C 2.1GHZ*2,E5-2620 V2 6C 2.1GHZ*2,E5-2450 V2 8C 2.5GHZ*2
memory,16G*8,16G*8,16G*6,16G *4,16G*4
HDD,SATA 3T 7.2K*4,SATA 4T 7.2K*8,SATA 500G 7.2K*2,SAS 600G 10K*2,SATA 4T 7.2K*8
SSD,SSD 480G MLC*2,-,SSD 480G MLC*5,-,-
Network Card,1,1,1,1,1
Raid Card,0,0,1,1,0
CPU,2,2,2,2,2
MEM,8,8,6,4,4
HDD,4,8,2,4,8
SSD,2,0,5,0,0
MBD,1,1,1,1,1
PSU,2,2,2,2,2
BAL,1,1,1,1,1